time,frame,num_faces,faces
49591.0,1190.0,1,"[{'box': [304, 78, 137, 174], 'confidence': 0.9981293082237244, 'keypoints': {'left_eye': (351, 140), 'right_eye': (414, 151), 'nose': (379, 181), 'mouth_left': (342, 208), 'mouth_right': (396, 218)}}]"
50008.0,1200.0,1,"[{'box': [241, 74, 140, 176], 'confidence': 0.9996916055679321, 'keypoints': {'left_eye': (285, 137), 'right_eye': (350, 141), 'nose': (314, 176), 'mouth_left': (286, 208), 'mouth_right': (339, 212)}}]"
50425.0,1210.0,1,"[{'box': [266, 60, 148, 183], 'confidence': 0.9937717318534851, 'keypoints': {'left_eye': (298, 123), 'right_eye': (368, 127), 'nose': (318, 164), 'mouth_left': (294, 198), 'mouth_right': (357, 202)}}]"
50842.0,1220.0,1,"[{'box': [189, 65, 141, 167], 'confidence': 0.995385468006134, 'keypoints': {'left_eye': (218, 123), 'right_eye': (281, 122), 'nose': (238, 160), 'mouth_left': (224, 196), 'mouth_right': (273, 196)}}]"
51260.0,1230.0,1,"[{'box': [158, 67, 146, 176], 'confidence': 0.9774665236473083, 'keypoints': {'left_eye': (194, 134), 'right_eye': (259, 122), 'nose': (225, 168), 'mouth_left': (206, 201), 'mouth_right': (265, 190)}}]"
51677.0,1240.0,0,"[]"
52094.0,1250.0,1,"[{'box': [230, 89, 19, 26], 'confidence': 0.9842761754989624, 'keypoints': {'left_eye': (239, 99), 'right_eye': (247, 99), 'nose': (246, 104), 'mouth_left': (240, 109), 'mouth_right': (247, 110)}}]"
52511.0,1260.0,2,"[{'box': [466, 91, 21, 24], 'confidence': 0.9913763403892517, 'keypoints': {'left_eye': (475, 97), 'right_eye': (485, 98), 'nose': (481, 103), 'mouth_left': (475, 109), 'mouth_right': (483, 110)}}, {'box': [234, 90, 18, 23], 'confidence': 0.9465272426605225, 'keypoints': {'left_eye': (242, 99), 'right_eye': (250, 99), 'nose': (248, 104), 'mouth_left': (243, 109), 'mouth_right': (249, 109)}}]"
52928.0,1270.0,2,"[{'box': [241, 89, 18, 23], 'confidence': 0.9356871843338013, 'keypoints': {'left_eye': (249, 97), 'right_eye': (258, 98), 'nose': (255, 103), 'mouth_left': (249, 108), 'mouth_right': (255, 108)}}, {'box': [501, 79, 21, 30], 'confidence': 0.7181141972541809, 'keypoints': {'left_eye': (504, 91), 'right_eye': (512, 91), 'nose': (504, 97), 'mouth_left': (503, 104), 'mouth_right': (510, 104)}}]"
53345.0,1280.0,2,"[{'box': [454, 62, 43, 57], 'confidence': 0.9867509007453918, 'keypoints': {'left_eye': (458, 82), 'right_eye': (475, 79), 'nose': (460, 91), 'mouth_left': (461, 107), 'mouth_right': (472, 105)}}, {'box': [197, 95, 42, 53], 'confidence': 0.9741374254226685, 'keypoints': {'left_eye': (220, 112), 'right_eye': (238, 116), 'nose': (233, 124), 'mouth_left': (217, 133), 'mouth_right': (232, 137)}}]"
53762.0,1290.0,3,"[{'box': [212, 96, 45, 56], 'confidence': 0.9991714954376221, 'keypoints': {'left_eye': (231, 114), 'right_eye': (251, 119), 'nose': (243, 126), 'mouth_left': (228, 137), 'mouth_right': (244, 141)}}, {'box': [442, 65, 46, 59], 'confidence': 0.9923257827758789, 'keypoints': {'left_eye': (447, 87), 'right_eye': (466, 84), 'nose': (451, 99), 'mouth_left': (452, 113), 'mouth_right': (467, 111)}}, {'box': [275, 160, 14, 19], 'confidence': 0.9333863258361816, 'keypoints': {'left_eye': (278, 167), 'right_eye': (286, 167), 'nose': (282, 171), 'mouth_left': (278, 175), 'mouth_right': (285, 175)}}]"
54179.0,1300.0,3,"[{'box': [205, 104, 46, 55], 'confidence': 0.9966082572937012, 'keypoints': {'left_eye': (227, 121), 'right_eye': (247, 127), 'nose': (239, 134), 'mouth_left': (223, 144), 'mouth_right': (239, 149)}}, {'box': [445, 55, 53, 66], 'confidence': 0.994629979133606, 'keypoints': {'left_eye': (453, 81), 'right_eye': (477, 77), 'nose': (460, 93), 'mouth_left': (458, 108), 'mouth_right': (476, 106)}}, {'box': [297, 161, 15, 20], 'confidence': 0.9943713545799255, 'keypoints': {'left_eye': (300, 168), 'right_eye': (308, 168), 'nose': (304, 172), 'mouth_left': (301, 176), 'mouth_right': (307, 176)}}]"
