IDs,Video,Resolution
NDARAD224CRB,/Volumes/methlab_data/HBN/EEG-ET/NDARAD224CRB/NDARAD224CRB_Video3_Samples_ET.mat,800600
NDARAD224CRB,/Volumes/methlab_data/HBN/EEG-ET/NDARAD224CRB/NDARAD224CRB_Video4_Samples_ET.mat,800600
NDARAD481FXF,/Volumes/methlab_data/HBN/EEG-ET/NDARAD481FXF/NDARAD481FXF_Video1_Samples_ET.mat,800600
NDARAD481FXF,/Volumes/methlab_data/HBN/EEG-ET/NDARAD481FXF/NDARAD481FXF_Video3_Samples_ET.mat,800600
NDARAD571FLB,/Volumes/methlab_data/HBN/EEG-ET/NDARAD571FLB/NDARAD571FLB_Video-DM_Samples_ET.mat,800600
NDARAD571FLB,/Volumes/methlab_data/HBN/EEG-ET/NDARAD571FLB/NDARAD571FLB_Video-FF_Samples_ET.mat,800600
NDARAD571FLB,/Volumes/methlab_data/HBN/EEG-ET/NDARAD571FLB/NDARAD571FLB_Video-TP_Samples_ET.mat,800600
NDARAD571FLB,/Volumes/methlab_data/HBN/EEG-ET/NDARAD571FLB/NDARAD571FLB_Video-WK_Samples_ET.mat,800600
NDARAD615WLJ,/Volumes/methlab_data/HBN/EEG-ET/NDARAD615WLJ/NDARAD615WLJ_Video1_Samples_ET.mat,800600
NDARAD615WLJ,/Volumes/methlab_data/HBN/EEG-ET/NDARAD615WLJ/NDARAD615WLJ_Video2_Samples_ET.mat,800600
NDARAD615WLJ,/Volumes/methlab_data/HBN/EEG-ET/NDARAD615WLJ/NDARAD615WLJ_Video3_Samples_ET.mat,800600
NDARAD615WLJ,/Volumes/methlab_data/HBN/EEG-ET/NDARAD615WLJ/NDARAD615WLJ_Video4_Samples_ET.mat,800600
NDARAD703XA2,/Volumes/methlab_data/HBN/EEG-ET/NDARAD703XA2/NDARAD703XA2_Video-WK_Samples_ET.mat,1440900
NDARAD774HAZ,/Volumes/methlab_data/HBN/EEG-ET/NDARAD774HAZ/NDARAD774HAZ_Video1_Samples_ET.mat,800600
NDARAD774HAZ,/Volumes/methlab_data/HBN/EEG-ET/NDARAD774HAZ/NDARAD774HAZ_Video3_Samples_ET.mat,800600
NDARAE012DGA,/Volumes/methlab_data/HBN/EEG-ET/NDARAE012DGA/NDARAE012DGA_Video1_Samples_ET.mat,800600
NDARAE012DGA,/Volumes/methlab_data/HBN/EEG-ET/NDARAE012DGA/NDARAE012DGA_Video3_Samples_ET.mat,800600
NDARAE199TDD,/Volumes/methlab_data/HBN/EEG-ET/NDARAE199TDD/NDARAE199TDD_Video1_Samples_ET.mat,800600
NDARAE199TDD,/Volumes/methlab_data/HBN/EEG-ET/NDARAE199TDD/NDARAE199TDD_Video3_Samples_ET.mat,800600
NDARAE301XTM,/Volumes/methlab_data/HBN/EEG-ET/NDARAE301XTM/NDARAE301XTM_Video1_Samples_ET.mat,800600
NDARAE301XTM,/Volumes/methlab_data/HBN/EEG-ET/NDARAE301XTM/NDARAE301XTM_Video2_Samples_ET.mat,800600
NDARAE301XTM,/Volumes/methlab_data/HBN/EEG-ET/NDARAE301XTM/NDARAE301XTM_Video3_Samples_ET.mat,800600
NDARAE301XTM,/Volumes/methlab_data/HBN/EEG-ET/NDARAE301XTM/NDARAE301XTM_Video4_Samples_ET.mat,800600
NDARAE828CML,/Volumes/methlab_data/HBN/EEG-ET/NDARAE828CML/NDARAE828CML_Video1_Samples_ET.mat,800600
NDARAE828CML,/Volumes/methlab_data/HBN/EEG-ET/NDARAE828CML/NDARAE828CML_Video3_Samples_ET.mat,800600
NDARAE866UVF,/Volumes/methlab_data/HBN/EEG-ET/NDARAE866UVF/NDARAE866UVF_Video-DM_Samples_ET.mat,800600
NDARAE866UVF,/Volumes/methlab_data/HBN/EEG-ET/NDARAE866UVF/NDARAE866UVF_Video-FF_Samples_ET.mat,800600
NDARAE866UVF,/Volumes/methlab_data/HBN/EEG-ET/NDARAE866UVF/NDARAE866UVF_Video-TP_Samples_ET.mat,800600
NDARAE866UVF,/Volumes/methlab_data/HBN/EEG-ET/NDARAE866UVF/NDARAE866UVF_Video-WK_Samples_ET.mat,800600
NDARAEZ493ZJ,/Volumes/methlab_data/HBN/EEG-ET/NDARAEZ493ZJ/NDARAEZ493ZJ_Video1_Samples_ET.mat,800600
NDARAEZ493ZJ,/Volumes/methlab_data/HBN/EEG-ET/NDARAEZ493ZJ/NDARAEZ493ZJ_Video3_Samples_ET.mat,800600
NDARAF003VCL,/Volumes/methlab_data/HBN/EEG-ET/NDARAF003VCL/NDARAF003VCL_Video-DM_Samples_ET.mat,1440900
NDARAF003VCL,/Volumes/methlab_data/HBN/EEG-ET/NDARAF003VCL/NDARAF003VCL_Video-TP_Samples_ET.mat,1440900
NDARAF003VCL,/Volumes/methlab_data/HBN/EEG-ET/NDARAF003VCL/NDARAF003VCL_Video-WK_Samples_ET.mat,1440900
NDARAF440XWG,/Volumes/methlab_data/HBN/EEG-ET/NDARAF440XWG/NDARAF440XWG_Video-DM_Samples_ET.mat,800600
NDARAF440XWG,/Volumes/methlab_data/HBN/EEG-ET/NDARAF440XWG/NDARAF440XWG_Video-FF_Samples_ET.mat,800600
NDARAF440XWG,/Volumes/methlab_data/HBN/EEG-ET/NDARAF440XWG/NDARAF440XWG_Video-TP_Samples_ET.mat,800600
NDARAF440XWG,/Volumes/methlab_data/HBN/EEG-ET/NDARAF440XWG/NDARAF440XWG_Video-WK_Samples_ET.mat,800600
NDARAF535XK6,/Volumes/methlab_data/HBN/EEG-ET/NDARAF535XK6/NDARAF535XK6_Video-DM_Samples_ET.mat,800600
NDARAF535XK6,/Volumes/methlab_data/HBN/EEG-ET/NDARAF535XK6/NDARAF535XK6_Video-FF_Samples_ET.mat,800600
NDARAF535XK6,/Volumes/methlab_data/HBN/EEG-ET/NDARAF535XK6/NDARAF535XK6_Video-TP_Samples_ET.mat,800600
NDARAF535XK6,/Volumes/methlab_data/HBN/EEG-ET/NDARAF535XK6/NDARAF535XK6_Video-WK_Samples_ET.mat,800600
