Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
953,00:00:39.708,0.7470341435185185,0.404052734375,0.8178168402777778,1.0192328559027777
954,00:00:39.750,0.7734736689814815,0.3945855034722222,0.9165852864583334,1.0092502170138888
955,00:00:39.792,0.7825159143518517,0.4128689236111111,0.8952365451388888,1.0394422743055556
956,00:00:39.833,0.6796965422453703,0.3614366319444444,0.8033040364583334,0.8743489583333334
957,00:00:39.875,60.42277922453704,24.787027994791668,91.05173068576389,65.42957899305556
958,00:00:39.917,0.19961660879629628,0.08968098958333333,0.2185601128472222,0.2906087239583333
959,00:00:39.958,0.3047507957175926,0.138916015625,0.3169216579861111,0.4584147135416667
960,00:00:40.000,1.034351490162037,0.6141221788194444,0.8340386284722222,1.6548936631944444
961,00:00:40.042,0.3788248697916667,0.15855577256944445,0.3958875868055556,0.58203125
962,00:00:40.083,0.5611074942129629,0.3009168836805556,0.5508355034722222,0.8315700954861112
963,00:00:40.125,0.6243037471064815,0.3159450954861111,0.5793728298611112,0.9775933159722222
964,00:00:40.167,0.4970612702546296,0.2150336371527778,0.5164930555555556,0.7596571180555556
965,00:00:40.208,0.6557707609953703,0.3413357204861111,0.6395399305555556,0.9864366319444444
966,00:00:40.250,0.6760886863425926,0.3077528211805556,0.6841634114583334,1.0363498263888888
967,00:00:40.292,0.513427734375,0.2253146701388889,0.5586208767361112,0.75634765625
968,00:00:40.333,0.5634584780092592,0.24104817708333334,0.6039496527777778,0.8453776041666666
969,00:00:40.375,0.851318359375,0.4482964409722222,0.7696397569444444,1.3360188802083333
970,00:00:40.417,0.6365469473379629,0.270263671875,0.6673177083333334,0.9720594618055556
971,00:00:40.458,0.9424461082175926,0.4224175347222222,1.0062934027777777,1.3986273871527777
972,00:00:40.500,1.4173900462962965,0.5716959635416666,1.6716851128472223,2.0087890625
973,00:00:40.542,1.3214246961805556,0.4553765190972222,1.7285427517361112,1.7803548177083333
974,00:00:40.583,1.242865668402778,0.4491644965277778,1.5618218315972223,1.7176106770833333
975,00:00:40.625,1.2331995081018519,0.4685601128472222,1.4805230034722223,1.7505154079861112
976,00:00:40.667,1.1612774884259258,0.4390733506944444,1.4157443576388888,1.6290147569444444
977,00:00:40.708,0.8483796296296297,0.3349880642361111,1.0951605902777777,1.114990234375
978,00:00:40.750,0.9948549623842592,0.3560384114583333,1.2788628472222223,1.3496636284722223
979,00:00:40.792,1.0131383825231481,0.3690321180555556,1.2883572048611112,1.3820258246527777
980,00:00:40.833,1.0414134837962963,0.3190375434027778,1.2829861111111112,1.522216796875
981,00:00:40.875,0.9464337384259259,0.3296169704861111,1.1101345486111112,1.3995496961805556
982,00:00:40.917,0.9930374710648149,0.4036187065972222,1.1231825086805556,1.4523111979166667
983,00:00:40.958,0.9207718460648149,0.3681640625,1.0865071614583333,1.3076443142361112
984,00:00:41.000,0.9185022424768517,0.3060709635416667,1.1684841579861112,1.2809516059027777
985,00:00:41.042,0.8968551070601852,0.3212076822916667,1.1550835503472223,1.2142740885416667
986,00:00:41.083,0.8173285590277777,0.3320583767361111,1.0058051215277777,1.1141221788194444
987,00:00:41.125,0.6947157118055555,0.3105740017361111,0.8559027777777778,0.9176703559027778
988,00:00:41.167,0.6372884114583334,0.2712673611111111,0.7474500868055556,0.8931477864583334
989,00:00:41.208,0.5281213831018519,0.23890516493055555,0.6062282986111112,0.7392306857638888
990,00:00:41.250,1.8633264612268519,1.5890028211805556,1.1837293836805556,2.8172471788194446
991,00:00:41.292,0.5243417245370371,0.27880859375,0.5340711805555556,0.7601453993055556
992,00:00:41.333,0.5015371817129629,0.2504611545138889,0.5207248263888888,0.7334255642361112
993,00:00:41.375,0.43646014178240744,0.23155381944444445,0.4676378038194444,0.6101888020833334
994,00:00:41.417,0.425193504050926,0.18397352430555555,0.4689127604166667,0.6226942274305556
995,00:00:41.458,0.40238896122685186,0.16246202256944445,0.4467230902777778,0.5979817708333334
996,00:00:41.500,0.35916702835648157,0.14729817708333334,0.394775390625,0.5354275173611112
997,00:00:41.542,0.4102466724537037,0.1577419704861111,0.4557291666666667,0.6172688802083334
998,00:00:41.583,0.5831796151620371,0.2752007378472222,0.6528049045138888,0.821533203125
999,00:00:41.625,0.6574074074074074,0.3331163194444444,0.7073025173611112,0.9318033854166666
1000,00:00:41.667,0.7969473379629629,0.4317491319444444,0.8486056857638888,1.1104871961805556
1001,00:00:41.708,0.9240180121527777,0.4441731770833333,1.0601671006944444,1.2677137586805556
1002,00:00:41.750,1.0766963252314814,0.5359700520833334,1.2497016059027777,1.4444173177083333
1003,00:00:41.792,1.1012912326388888,0.5112033420138888,1.2941623263888888,1.4985080295138888
1004,00:00:41.833,1.2313458478009258,0.5652669270833334,1.4454752604166667,1.6832953559027777
1005,00:00:41.875,1.4755045572916667,0.6127387152777778,1.7410210503472223,2.07275390625
1006,00:00:41.917,1.7621708622685184,0.7196723090277778,2.125,2.4418402777777777
1007,00:00:41.958,1.8845395688657407,0.6763509114583334,2.3839789496527777,2.593288845486111
1008,00:00:42.000,2.0963993778935186,0.8731825086805556,2.606174045138889,2.809841579861111
1009,00:00:42.042,1.7484899450231481,0.7766655815972222,2.095703125,2.3731011284722223
1010,00:00:42.083,1.7139847366898149,0.8052571614583334,2.008083767361111,2.32861328125
1011,00:00:42.125,1.5791015625,0.8539496527777778,1.8379991319444444,2.0453559027777777
1012,00:00:42.167,1.7686451099537035,1.0661892361111112,1.9680447048611112,2.271701388888889
1013,00:00:42.208,1.4720594618055556,0.9669867621527778,1.5816243489583333,1.8675672743055556
1014,00:00:42.250,1.5848885995370372,1.1331108940972223,1.6370713975694444,1.9844835069444444
1015,00:00:42.292,1.3029875578703705,0.9488118489583334,1.3012152777777777,1.658935546875
1016,00:00:42.333,1.32958984375,0.8627387152777778,1.3419596354166667,1.7840711805555556
1017,00:00:42.375,1.094021267361111,0.7247992621527778,1.1336805555555556,1.423583984375
1018,00:00:42.417,1.0422001591435184,0.6608615451388888,1.0369466145833333,1.4287923177083333
1019,00:00:42.458,0.82080078125,0.4674207899305556,0.8023274739583334,1.1926540798611112
1020,00:00:42.500,2.3597728587962963,1.7901204427083333,1.75244140625,3.5367567274305554
1021,00:00:42.542,1.3324019820601851,0.6703287760416666,1.4124891493055556,1.9143880208333333
1022,00:00:42.583,1.2222583912037037,0.5808648003472222,1.3320041232638888,1.75390625
1023,00:00:42.625,0.9608742042824074,0.5254448784722222,0.9529893663194444,1.4041883680555556
1024,00:00:42.667,0.732864945023148,0.4459906684027778,0.6996799045138888,1.0529242621527777
1025,00:00:42.708,0.6654730902777778,0.3355034722222222,0.7325032552083334,0.9284125434027778
1026,00:00:42.750,0.9190809461805555,0.4474012586805556,0.9549153645833334,1.3549262152777777
1027,00:00:42.792,0.9477358217592592,0.4356553819444444,0.999267578125,1.4082845052083333
1028,00:00:42.833,1.1255696614583333,0.4817437065972222,1.2640245225694444,1.6309407552083333
1029,00:00:42.875,0.993136935763889,0.5420464409722222,1.0606282552083333,1.3767361111111112
1030,00:00:42.917,1.2103497540509258,0.6250542534722222,1.268798828125,1.7371961805555556
1031,00:00:42.958,1.5223885995370372,0.7370876736111112,1.7489420572916667,2.0811360677083335
1032,00:00:43.000,1.2863407841435184,0.5851779513888888,1.4380696614583333,1.8357747395833333
1033,00:00:43.042,1.076226128472222,0.6463487413194444,1.1569552951388888,1.4253743489583333
1034,00:00:43.083,0.9883174189814815,0.5270724826388888,1.1219889322916667,1.3158908420138888
1035,00:00:43.125,0.8476200810185186,0.4401041666666667,0.9481879340277778,1.1545681423611112
1036,00:00:43.167,60.70795355902778,25.72802734375,89.69924587673611,66.69658745659723
1037,00:00:43.208,1.1847149884259258,0.4857042100694444,1.5201009114583333,1.54833984375
1038,00:00:43.250,2.099247685185185,0.73876953125,2.9314778645833335,2.6274956597222223
1039,00:00:43.292,2.5026312934027777,0.8246799045138888,3.6661512586805554,3.017062717013889
1040,00:00:43.333,2.5154622395833335,0.8297254774305556,3.6268174913194446,3.08984375
1041,00:00:43.375,2.1964608651620368,0.8344455295138888,3.088595920138889,2.6663411458333335
1042,00:00:43.417,1.875,0.751220703125,2.5756022135416665,2.2981770833333335
1043,00:00:43.458,1.8366608796296298,0.8165690104166666,2.5315755208333335,2.161838107638889
1044,00:00:43.500,1.5547688802083333,0.7151150173611112,2.064724392361111,1.8844672309027777
1045,00:00:43.542,1.0215205439814816,0.543701171875,1.2528483072916667,1.2680121527777777
1046,00:00:43.583,0.6671911168981483,0.3629828559027778,0.7562391493055556,0.8823513454861112
1047,00:00:43.625,0.7686089409722223,0.48388671875,0.8381618923611112,0.9837782118055556
1048,00:00:43.667,0.5734411168981481,0.3308648003472222,0.6541612413194444,0.7352973090277778
1049,00:00:43.708,0.3901276765046296,0.21986219618055555,0.4509819878472222,0.4995388454861111
1050,00:00:43.750,1.2616825810185186,1.06005859375,1.0514865451388888,1.6735026041666667
1051,00:00:43.792,0.36040581597222215,0.20619032118055555,0.405029296875,0.4699978298611111
1052,00:00:43.833,0.32491500289351855,0.1987575954861111,0.3604600694444444,0.41552734375
1053,00:00:43.875,0.48049587673611116,0.3637966579861111,0.4831000434027778,0.5945909288194444
1054,00:00:43.917,0.3443558304398148,0.22398546006944445,0.3780924479166667,0.4309895833333333
1055,00:00:43.958,0.4042697482638889,0.3253038194444444,0.3980848524305556,0.4894205729166667
1056,00:00:44.000,0.4024251302083333,0.3072374131944444,0.4194064670138889,0.4806315104166667
1057,00:00:44.042,0.2614655671296296,0.15342881944444445,0.2911241319444444,0.33984375
1058,00:00:44.083,0.43721064814814814,0.23741319444444445,0.4947645399305556,0.5794542100694444
1059,00:00:44.125,0.45285373263888884,0.3166775173611111,0.4657660590277778,0.5761176215277778
